=== chunk A/B start 2026-09-17T09:35:19-07:00 ===
2026-09-17T09:35:19-07:00 GATED (util=96% in-flight=13); retry in 10 min
2026-09-17T09:45:19-07:00 GATED (util=96% in-flight=11); retry in 10 min
2026-09-17T09:55:19-07:00 GATED (util=96% in-flight=13); retry in 10 min
2026-09-17T10:05:19-07:00 GATED (util=96% in-flight=14); retry in 10 min
2026-09-17T10:15:19-07:00 GATED (util=96% in-flight=14); retry in 10 min
2026-09-17T10:25:19-07:00 GATED (util=96% in-flight=13); retry in 10 min
2026-09-17T10:35:19-07:00 GATED (util=85% in-flight=12); retry in 10 min
2026-09-17T10:45:19-07:00 GATED (util=83% in-flight=13); retry in 10 min
2026-09-17T10:55:19-07:00 GATED (util=85% in-flight=1); retry in 10 min
2026-09-17T11:05:19-07:00 GATED (util=78% in-flight=1); retry in 10 min
2026-09-17T11:15:19-07:00 GATED (util=84% in-flight=1); retry in 10 min
